Question,Answer,Prediction,Outcome
When was AAR founded?,AAR was founded in 1951.,AAR was founded in 1951. Thanks for asking!,1
What was the purpose of the INL/A Worldwide Aviation Support Services contract?,The purpose of the INL/A Worldwide Aviation Support Services contract was to provide support services for the U.S. Department of State.,"The purpose of the INL/A Worldwide Aviation Support Services contract was to globally operate and maintain the U.S. Department of State's fleet of fixed- and rotary-wing aircraft. This included providing flight operations, supply chain logistics, and other aviation services. 

Thanks for asking!",1
What is the scope of the contract mentioned in the text?,The contract is for globally operating and maintaining the Department of State fleet of fixed- and rotary-wing aircraft.,"The text does not provide specific information about the scope of the contract. 
Thanks for asking!",1
What services does the company provide under the U.S. Air Force Landing Gear Performance-Based Logistics One program?,"The company provides total supply chain management including purchasing, distribution, and inventory control to support all landing gear components for the U.S. Air Force's fleet.","The company provides total supply chain management including purchasing, distribution, and inventory control to support all landing gear components for the U.S. Air Force's fleet of aircraft under the U.S. Air Force Landing Gear Performance-Based Logistics One program.

Thanks for asking!",1
What type of aircraft does Force have in its fleet?,"C-130, KC-135, and E-3 aircraft.","Force has C-130, KC-135, and E-3 aircraft in its fleet. 

Thanks for asking!",1
How much money has been returned to shareholders over the past three years?,$74.2 million,"Over the past three years, $74.2 million has been returned to shareholders through common stock repurchases of $43.2 million and dividends of $31.0 million.

Thanks for asking!",1
"What percentage of sales did the Aviation Services segment account for in fiscal years 2019, 2018, and 2017?",Approximately 95%,"The provided context does not include information about the percentage of sales that the Aviation Services segment accounted for in fiscal years 2019, 2018, and 2017. Therefore, I don't have the answer to your question. Thanks for asking!",0
What are the primary methods of conducting business for AAR?,"The primary methods of conducting business for AAR are through AAR Supply Chain, Inc.; AAR Government Services, Inc.; AAR Aircraft & Engine Sales & Leasing, Inc.; AAR Aircraft Services, Inc.; AAR Allen Services, Inc.; AAR Landing Gear LLC; AAR Airlift Group, Inc.; and AAR International, Inc.","Based on the provided context, the primary methods of conducting business for AAR Corp. include providing services and products to the worldwide commercial aviation and government and defense markets. This includes aviation supply chain and parts support programs, customer fleet management and operations, and maintenance, repair, and overhaul of airframes and landing gear. AAR Corp. is a diversified provider of products and services in these industries. 

Thanks for asking!",1
What types of services are provided under the programs for aviation and government customers?,"The types of services provided include material planning, sourcing, flight hour component inventory and repair programs, warranty claim management, and outsourcing programs for engine and airframe parts and components.","The types of services provided under the programs for aviation and government customers include material planning, sourcing, flight hour component inventory and repair programs, warranty claim management, outsourcing programs for engine and airframe parts and components, maintenance, repair and overhaul of airframes and certain other airframe components, design and manufacture of specialized pallets, shelters, and containers, aircraft modifications, and aircraft and engine sales and leasing. 

Thanks for asking!",1
What services does the company provide under the INL/A WASS contract?,The company provides fleet management and operations of customer-owned aircraft.,"The company provides fleet management and operations of customer-owned aircraft for the Department of State (DoS) under the INL/A WASS contract. They are the prime contractor on this 10-year contract to globally operate and maintain the DoS fleet of fixed- and rotary-wing aircraft. They offer aviation services such as flight operations, supply chain logistics, and other services under this contract.

Thanks for asking!",1
What types of services are provided under the performance-based supply chain logistics programs?,"The types of services provided under these programs include material planning, sourcing, and logistics.","The types of services provided under the performance-based supply chain logistics programs include material planning, sourcing, logistics, inventory management, replenishment, and other related services. 

Thanks for asking!",1
What services does the company provide?,"The company provides logistics, information and program management, airframe maintenance and maintenance planning, and component repair and overhaul.","The company provides logistics, information and program management, airframe maintenance and maintenance planning, component repair and overhaul, major airframe inspection, maintenance, repair and overhaul, painting services, line maintenance, airframe modifications, structural repairs, avionic service and installation, exterior and interior refurbishment, engineering services and support for commercial and military aircraft. They also provide evaluation and inspection services, administrative services, technical advisory services, and remarketing services for aircraft joint ventures. Additionally, they offer engineering, design, system integration services, and manufacture advanced composite shelters for various requirements. They also repair and overhaul components, landing gears, wheels, and brakes for aircraft. 

Thanks for asking!",1
What types of aircraft do we repair and overhaul?,"We repair and overhaul various components, landing gears, wheels, and brakes for commercial and military aircraft.","The text mentions that we provide maintenance, repair, and overhaul services for both commercial and military aircraft. It does not specify the exact types of aircraft we repair and overhaul. Therefore, the specific types of aircraft we work on are not provided in the given context. Thanks for asking!",1
